Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Item_Visibility_MeanRatio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,249.8092,3735.138,Dairy,0.016047301,9.3,1999,OUT049,0.2433150047957991,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,48.2692,443.4228,Soft Drinks,0.019278216,5.92,2009,OUT018,0.29230331122314285,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,141.618,2097.27,Meat,0.016760075,17.5,1999,OUT049,0.25412234300353387,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,182.095,732.38,Fruits and Vegetables,0.0,19.2,1998,OUT010,0.0,15,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCD19,53.8614,994.7052,Household,0.0,8.93,1987,OUT013,0.0,26,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP36,51.4008,556.6088,Baking Goods,0.0,10.395,2009,OUT018,0.0,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,57.6588,343.5528,Snack Foods,0.012741088999999999,13.65,1987,OUT013,0.1931850179129003,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,107.7622,4022.7636,Snack Foods,0.127469857,12.857645184136183,1985,OUT027,1.9327442581948717,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH17,96.9726,1076.5986,Frozen Foods,0.016687114,16.2,2002,OUT045,0.2530160818282181,11,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,187.8214,4710.535,Frozen Foods,0.09444959,19.2,2007,OUT017,1.4320789797493834,6,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,45.5402,1516.0266,Fruits and Vegetables,0.0,11.8,1999,OUT049,0.0,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,144.1102,2187.153,Dairy,0.045463773,18.5,1997,OUT046,0.6893382348552022,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,145.4786,1589.2646,Fruits and Vegetables,0.1000135,15.1,1999,OUT049,1.5164410035148375,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,119.6782,2145.2076,Snack Foods,0.047257328,17.6,1997,OUT046,0.7165327670339486,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,196.4426,1977.4260000000002,Fruits and Vegetables,0.06802430000000001,16.35,1987,OUT013,1.0314091373204053,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,56.3614,1547.3192,Breakfast,0.06908896099999999,9.0,1997,OUT046,1.0475519139979848,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,115.3492,1621.8888,Health and Hygiene,0.008596051,11.8,2009,OUT018,0.13033644662675262,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,54.3614,718.3982,Breakfast,0.06919637599999999,9.0,1999,OUT049,1.0491805792321036,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,113.2834,2303.6679999999997,Hard Drinks,0.034237682,12.857645184136183,1985,OUT027,0.5191241667385091,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
